Title,Author,Room,Image,1,2,3,audio description,description
"Pietà","Bonascia Bartolomeo (Modena, doc. 1468 - m. ante 1496 (?))",Stanza non disponibile,160.png,,,,160.mp3,"Firmato nel cartellino al centro del sarcofago, il dipinto è l’unica opera nota dell’artista, che godette di grande fama come maestro di tarsia. La pratica dell’intarsio ligneo è richiamata infatti nella raffigurazione in primo piano degli strumenti della passione disposti in difficili scorci prospettici. Con quest’unica opera Bonascia dimostra di essere un seguace di altissimo livello dell’arte di Piero della Francesca, recepita attraverso l’attività modenese di Cristoforo e Lorenzo da Lendinara."
"Natura morta con ortaggi, pesci e funghi","Cittadini Pier Francesco detto Milanese (Milano, 1616 - Bologna, 1681)",21,161.png,,,,161.mp3,"Con un timbro al tempo stesso aristocratico e informale, le quattro nature morte (invv. 48, 54, 224, 225) riflettono brillantemente il gusto di corte promosso dal duca Francesco I d’Este nella residenza estiva di Sassuolo. Alla metà del Seicento l’antica dimora era in piena trasformazione, e fra i diversi pittori e frescanti impegnati, al milanese Cittadini vennero affidati i brani di frutta, fiori e vegetali di cui era specialista. Da tale contesto provengono queste raffinate composizioni ravvivate da animali e piccole storie."
"Natura morta con pappagallo, vasellame e dolciumi","Cittadini Pier Francesco detto Milanese (Milano, 1616 - Bologna, 1681)",21,162.png,,,,162.mp3,"Con un timbro al tempo stesso aristocratico e informale, le quattro nature morte (invv. 48, 54, 224, 225) riflettono brillantemente il gusto di corte promosso dal duca Francesco I d’Este nella residenza estiva di Sassuolo. Alla metà del Seicento l’antica dimora era in piena trasformazione, e fra i diversi pittori e frescanti impegnati, al milanese Cittadini vennero affidati i brani di frutta, fiori e vegetali di cui era specialista. Da tale contesto provengono queste raffinate composizioni ravvivate da animali e piccole storie."
"Natura morta con violino, frutta e bicchieri","Munari Cristoforo (Reggio Emilia, 1667 - Pisa, 1720)",21,163.png,,,,163.mp3,Descrizione non disponbile
San Placido accoglie sotto il piviale le monache benedettine di Sant’Eufemia,"Dell'Abate Nicolò (Modena, 1509 ca. - Fontainebleau, 1571)",Stanza non disponibile,164.png,,,,164.mp3,"L’iscrizione nel bordo inferiore identifica a destra la nobildonna Camilla Fontana e a sinistra Placida Valentini, badessa di Sant’Eufemia negli anni tra il 1527 e il 1536. Il dipinto potrebbe rievocare l’accoglienza di Camilla tra le novizie di Sant'Eufemia da parte della badessa. Nonostante il cattivo stato di conservazione, lo stile del giovanissimo Nicolò è apprezzabile, in particolare nella finezza dei colori e nella sottigliezza del disegno."
Allegoria dell'Estate,"Cittadini Pier Francesco detto Milanese (Milano, 1616 - Bologna, 1681)",21,165.png,,,,165.mp3,"Dipinti di questo genere sono tipici esempi di pittura di arredo per grandi saloni. Le storie raffigurate obbediscono a modelli tradizionali, e più che esaltarne la complessità, l’autore le indirizza verso un effetto decorativo d’insieme, racchiudendole entro cornici floreali dipinte. In questo caso si tratta di un ciclo di allegorie delle quattro stagioni, commissionato da Alfonso II Gonzaga, conte di Novellara. La Galleria conserva la Primavera (inv. 4204) e l'Estate (inv. 6993), mentre le l’Autunno e l’Inverno si conservano oggi nelle Collezioni Comunali d’Arte di Bologna."
Allegoria della Primavera,"Cittadini Pier Francesco detto Milanese (Milano, 1616 - Bologna, 1681)",21,166.png,,,,166.mp3,"Dipinti di questo genere sono tipici esempi di pittura di arredo per grandi saloni. Le storie raffigurate obbediscono a modelli tradizionali, e più che esaltarne la complessità, l’autore le indirizza verso un effetto decorativo d’insieme, racchiudendole entro cornici floreali dipinte. In questo caso si tratta di un ciclo di allegorie delle quattro stagioni, commissionato da Alfonso II Gonzaga, conte di Novellara. La Galleria conserva la Primavera (inv. 4204) e l'Estate (inv. 6993), mentre le l’Autunno e l’Inverno si conservano oggi nelle Collezioni Comunali d’Arte di Bologna."
Angelo su nuvole,"Fetti Domenico (Roma, 1588/90 - Venezia, 1623)",Stanza non disponibile,167.png,,,,167.mp3,"Originariamente questa tela, in coppia con l'inv. 4190, fiancheggiava una scultura raffigurante la Crocifissione sull’altar maggiore di un oratorio a Mantova, cui era legata la Confraternita della Morte. Questa aveva il compito di assistere i carcerati e di accompagnare al patibolo i condannati alla pena capitale. L’insieme dunque offriva una scena di intenso patetismo, che si riflette ancora nelle espressioni dei due angeli: l’uno con lo sguardo verso l’alto, che dunque contemplava il Cristo; l’altro invece verso il basso, in direzione dei fedeli."
San Giovanni Battista,"Caliari Paolo detto Veronese (Verona, 1528 - Venezia, 1588)",Stanza non disponibile,168.png,,,,168.mp3,"Le tele raffiguranti San Menna (inv. 433), San Giovanni Battista (inv. 4188) e i Santi Geminiano e Severo (inv. 4187) costituivano le portelle del monumentale organo della chiesa di San Geminiano a Venezia, ristrutturata su progetto di Jacopo Sansovino, e furono commissionate nel 1557 dal padre Benedetto Manzini. Nella prima metà del Settecento i dipinti furono staccati dall'organo ed esposti in chiesa. Nel 1807 l'edificio fu demolito e le tele subirono diversi spostamenti prima di ricongiungersi tutte nella Galleria Estense di Modena nel 1924."
San Menna,"Caliari Paolo detto Veronese (Verona, 1528 - Venezia, 1588)",Stanza non disponile,169.png,,,,169.mp3,"Le tele raffiguranti San Menna (inv. 433), San Giovanni Battista (inv. 4188) e i Santi Geminiano e Severo (inv. 4187) costituivano le portelle del monumentale organo della chiesa di San Geminiano a Venezia, ristrutturata su progetto di Jacopo Sansovino, e furono commissionate nel 1557 dal padre Benedetto Manzini. Nella prima metà del Settecento i dipinti furono staccati dall'organo ed esposti in chiesa. Nel 1807 l'edificio fu demolito e le tele subirono diversi spostamenti prima di ricongiungersi tutte nella Galleria Estense di Modena nel 1924."
Due santi vescovi (Geminiano e Severo?),"Caliari Paolo detto Veronese (Verona, 1528 - Venezia, 1588)",Stanza non disponibile,170.png,,,,170.mp3,"Le tele raffiguranti San Menna (inv. 433), San Giovanni Battista (inv. 4188) e i Santi Geminiano e Severo (inv. 4187) costituivano le portelle del monumentale organo della chiesa di San Geminiano a Venezia, ristrutturata su progetto di Jacopo Sansovino, e furono commissionate nel 1557 dal padre Benedetto Manzini. Nella prima metà del Settecento i dipinti furono staccati dall'organo ed esposti in chiesa. Nel 1807 l'edificio fu demolito e le tele subirono diversi spostamenti prima di ricongiungersi tutte nella Galleria Estense di Modena nel 1924."
"Lucrezia, Bruto e Collatino","Maineri Giovan Francesco (Attivo tra il 1489 e il 1506 a Ferrara e Mantova), De' Roberti Ercole (Ferrara, 1450 ca. - 1496)",4,171.png,,,,171.mp3,"Il dipinto raffigura la nobildonna romana Lucrezia nell’atto di togliersi la vita dopo aver denunciato al marito Collatino e a Bruto lo stupro subito da parte di Sesto Tarquinio. La tavola era parte della decorazione di un arredo o di un camerino realizzato per la duchessa di Ferrara Eleonora d’Aragona, che presta il proprio volto a Lucrezia, abbigliata secondo la moda spagnoleggiante dell’epoca. Il pittore di corte Ercole de’ Roberti si è in questo caso avvalso dell’aiuto di Maineri, uno dei suoi migliori collaboratori."
Soldato che alza il calice,"Tournier Nicolas (Montbéliard, 1590 – Tolosa, 1538 ca.)",Stanza non disponibile,172.png,,,,172.mp3,"I due dipinti di Nicolas Tournier (invv. 15 e 41) sono fra le opere più preziose che il cardinale Alessandro d’Este (†1624) lasciò in eredità alla famiglia. Due soldati emergono solitari dalla penombra di un’osteria, fissandoci sotto una luce radente che ferma la scena in un istante sospeso e allusivo. Si tratta di due capolavori dell'artista francese, che lavorò a Roma fra 1619 e 1626 e fu uno dei più dotati interpreti del linguaggio e della poetica con cui Caravaggio, appena pochi anni prima, aveva rivoluzionato l’arte figurativa."
Soldato che alza la fiasca,"Tournier Nicolas (Montbéliard, 1590 – Tolosa, 1538 ca.)",Stanza non disponibile,173.png,,,,173.mp3,"I due dipinti di Nicolas Tournier (invv. 15 e 41) sono fra le opere più preziose che il cardinale Alessandro d’Este (†1624) lasciò in eredità alla famiglia. Due soldati emergono solitari dalla penombra di un’osteria, fissandoci sotto una luce radente che ferma la scena in un istante sospeso e allusivo. Si tratta di due capolavori dell'artista francese, che lavorò a Roma fra 1619 e 1626 e fu uno dei più dotati interpreti del linguaggio e della poetica con cui Caravaggio, appena pochi anni prima, aveva rivoluzionato l’arte figurativa."
San Francesco d'Assisi in preghiera con due angeli,"Gessi Giovan Francesco (Bologna, 1588 – 1649)",Stanza non disponibile,174.png,,,,174.mp3,"Dopo la terribile epidemia di peste del 1630, Guido Reni dipinse uno dei suoi capolavori più noti, ovvero lo stendardo per la chiesa bolognese di San Domenico con la Madonna, il Bambino e diverse figure di santi (Bologna, Pinacoteca Nazionale). Una di queste, il san Francesco orante, fu replicata dallo stesso Reni come dipinto isolato e poi anche da suoi seguaci in diverse altre versioni autonome. Questa, di particolare pregio, nel Settecento era considerata autografa ma si deve probabilmente a Giovan Francesco Gessi."
Discesa di Cristo nel Limbo,"Scarsella Ippolito detto Scarsellino (Ferrara, 1550 ca. - 1620)",Stanza non disponibile,175.png,,,,175.mp3,"Protagonisti di questo dipinto, che va letto assieme al suo pendant inv. 17744, sono Adamo ed Eva, dapprima ritratti nel giardino dell’Eden, quando stanno per assaggiare il frutto dell’albero della conoscenza del Bene e del Male; quindi negli Inferi, dove Gesù, dopo essere stato crocifisso e prima di risorgere, incontra le anime del passato per annunciare la redenzione. Si tratta di soggetti inediti nella produzione di Scarsellino, che si ispirò ai dipinti di alcuni dei maggiori protagonisti del Cinquecento veneziano (Veronese, Bassano, Tintoretto)."
Il peccato originale,"Scarsella Ippolito detto Scarsellino (Ferrara, 1550 ca. - 1620)",Stanza non disponibile,176.png,,,,176.mp3,"Protagonisti di questo dipinto, che va letto assieme al suo pendant inv. 17743, sono Adamo ed Eva, dapprima ritratti nel giardino dell’Eden, quando stanno per assaggiare il frutto dell’albero della conoscenza del Bene e del Male; quindi negli Inferi, dove Gesù, dopo essere stato crocifisso e prima di risorgere, incontra le anime del passato per annunciare la redenzione. Si tratta di soggetti inediti nella produzione di Scarsellino, che si ispirò ai dipinti di alcuni dei maggiori protagonisti del Cinquecento veneziano (Veronese, Bassano, Tintoretto)."
Pietà con i simboli della Passione,"Consetti Antonio (Modena, 1686 – 1766)",22,177.png,,,,177.mp3,"Non sono note l’origine e la paternità di questo dipinto tradizionalmente attribuito al modenese Antonio Consetti. È un ammirevole monocromo giocato su tenui gradazioni grigio-brune a imitazione di una scultura in marmo. La posa della Madonna con in grembo il corpo di Gesù si ispira direttamente a precisi prototipi, da Annibale Carracci risalendo fino alla celeberrima Pietà vaticana di Michelangelo. Qui sono presenti anche i chiodi, la corona di spine, la spugna, la croce e la lancia, per evocare didascalicamente la Passione di Cristo."
Miracolo della Madonna del Carmelo,"Bononi Carlo (Ferrara?, 1569/1580? - Ferrara, 1632)",Stanza non disponibile,178.png,,,,178.mp3,"La parte inferiore del dipinto descrive il salvataggio di un bambino caduto in un pozzo, a Mirandola, e uscito miracolosamente illeso. Il riferimento alla Madonna del Carmelo ha origine però antichissima, che affonda al tempo del profeta Elia, in Israele, durante il regno di Acab (IX secolo a.C.). Dall’alto del monte Carmelo, il profeta scorse l’arrivo di una nuvola portatrice di abbondanti piogge che posero fine alla siccità, e in epoca cristiana questo intervento salvifico fu poi associato all’intercessione della Vergine."
Mosè difende le figlie di Jetro,"Le Brun Charles (Parigi, 1619 – 1690)",22,179.png,,,,179.mp3,"Fuggito dall’Egitto dopo essersi macchiato di omicidio, il giovane Mosè si spinse a est nella terra di Madian. Qui, presso un pozzo, mise in fuga degli uomini che impedivano alle figlie del sacerdote Jetro di far abbeverare gli animali. Charles Le Brun fu il più importante artista francese al tempo del Re Sole, e giunse a controllare e dirigere ogni aspetto della produzione artistica di committenza reale."
Allegoria della Musica,"Piola Domenico (Genova, 1627 - 1703)",22,180.png,,,,180.mp3,"Proveniente da una famiglia di artisti, Domenico Piola fu un protagonista del barocco a Genova, città in cui una ricca committenza promuoveva la decorazione di palazzi e chiese con un linguaggio fastoso e sensuale: lo stesso che dà vita a questa figura femminile attorniata di cherubini, dalle forme aggraziate e avvolta in tessuti preziosi, che tiene in grembo un liuto. Il tono profano del dipinto sembra contrastare con la sua tradizionale identificazione con una santa Cecilia."
San Carlo Borromeo somministra l'Eucarestia agli appestati,"Caula Sigismondo (Modena, 1637 - 1724)",22,181.png,,,,181.mp3,Descrizione non disponibile
San Francesco in estasi,Pittore della prima metà del sec. XVII,Stanza non disponibile,182.png,,,,182.mp3,"Descrizione non disponibile"
